样本编号,所属领域,查新点核心技术特征,对比文献关键片段,专家标注,细粒度差异说明
S-001,生物医药,一种负载[靶向药A]的纳米脂质体，通过表面修饰[多肽序列B]实现对特定肿瘤细胞的靶向结合。,“…本发明公开了一种纳米脂质体药物载体，主要由磷脂和胆固醇组成，可用于包载各类抗肿瘤药物…”,新颖(相离),宏观载体相同，但对比文献未揭示查新点中核心的“表面修饰[多肽序列B]”靶向机制，技术路线相离。
S-002,机械制造,一种深海耐压密封舱，外壳采用钛合金，并在接缝处设计了[双层O型圈+非对称阶梯槽]复合密封结构。,“…该深海探测器密封舱外壳材质为钛合金，密封结构采用常规的双层O型圈设计，以保证水密性…”,部分新颖(相交),基础材质与部分结构重合，但查新点中独创的“[非对称阶梯槽]”未被涵盖，具有参数级的部分新颖性。
S-003,电子信息,一种基于改进Transformer的时间序列异常检测算法，引入了[滑动时间窗]与[相对位置编码]。,“…提出了一种利用Transformer进行异常检测的模型，文中详细论述了结合滑动窗口和相对位置编码的处理流程…”,不新颖(包含),查新点所述的核心算法架构及改进参数（滑动窗、位置编码）已被对比文献完全公开涵盖。
S-004,电子信息,一种基于[多智能体强化学习(MARL)]的港口自动导引车(AGV)动态避障调度方法，特别引入了[潮汐水位]作为环境约束变量。,“…本文提出了一种基于[改进遗传算法(GA)]的港口AGV调度优化策略，重点考虑了动态避障及[天气因素]对调度效率的影响…”,部分新颖(相交),宏观任务相同，但核心算法（MARL vs GA）相离，且环境约束变量（潮汐水位 vs 天气因素）存在实质性差异。
S-005,电子信息,面向6G通信的超材料天线设计，采用[分形几何结构]，工作频段定位于[300GHz-320GHz]的太赫兹频段。,“…该研究展示了一种用于太赫兹通信的超材料天线，结构上采用了V型谐振环阵列，实测工作频段为100GHz…”,新颖(相离),虽然均为太赫兹超材料天线，但查新点在底层物理结构（分形几何 vs V型阵列）及具体工作频段上完全不同。
S-006,生物医药,一种基于CRISPR-Cas9的基因递送系统，载体为[金纳米颗粒]，并引入了[近红外光(NIR)触发]的靶向释放机制。,“…报道了一种CRISPR-Cas9基因编辑系统，利用脂质纳米颗粒(LNP)作为递送载体，通过微环境pH值变化实现响应性释放…”,新颖(相离),基因编辑核心相同，但递送载体（金纳米颗粒 vs LNP）及释放触发机制（近红外光 vs pH响应）存在显著差异。
S-007,机械制造,用于航空发动机的涡轮叶片3D打印工艺，材料为Ti-6Al-4V粉末添加[0.5%石墨烯]，采用[激光粉末床熔融(LPBF)]技术。,“…探究了航空涡轮叶片的增材制造技术，采用Ti-6Al-4V合金粉末并掺杂碳纳米管，利用定向能量沉积(DED)工艺成型…”,新颖(相离),宏观应用一致，但查新点在核心增强材料（石墨烯 vs 碳纳米管）及打印工艺（LPBF vs DED）上存在本质区别。
S-008,电子信息,一种医学图像无损压缩算法，结合了卷积神经网络(CNN)与熵编码，创新点在于提出了[动态量化步长调节]策略。,“…提出了一种结合CNN与自适应熵编码的医学图像压缩方案，有效提升了压缩比并保持了图像细节…”,部分新颖(相交),基础算法框架（CNN+熵编码）被涵盖，但查新点特有的“[动态量化步长调节]”策略未在文献中体现。
S-009,生物医药,一种新型口腔种植体表面处理技术，基体为氧化锆，经过喷砂酸蚀(SLA)处理后，表面涂覆一层[介孔生物活性玻璃(MBG)]。,“…研究了一种氧化锆牙科种植体，对其表面进行了标准的喷砂酸蚀处理，以增强其骨结合能力…”,部分新颖(相交),基体与前置处理工艺被涵盖，但查新点中引入的“[介孔生物活性玻璃]”涂层属于未公开的创新技术特征。
S-010,机械制造,一种柔性机械臂关节驱动模组，采用摆线针轮减速器搭配[磁流变液(MRF)离合器]实现刚度连续可调。,“…该柔性机器人关节系统采用了微型摆线针轮减速器，具有体积小、传动比高的特点…”,部分新颖(相交),减速器选型一致，但查新点中用于刚度调节的核心部件“[磁流变液离合器]”未被对比文献提及。
S-011,电子信息,一种基于联邦学习的医疗数据隐私保护框架，采用同态加密对模型梯度进行保护，并设计了[自适应客户端聚合权重]。,“…提出了一种用于多中心医疗数据的联邦学习框架，通过同态加密技术保障传输过程中梯度数据的安全性…”,部分新颖(相交),联邦学习框架及加密方式已被涵盖，但查新点改进的“[自适应客户端聚合权重]”算法具有局部新颖性。
S-012,生物医药,一种针对特定突变型EGFR的非小细胞肺癌小分子抑制剂，其核心药效团中包含一个[特异性的三氟甲基吡啶环]。,“…合成了一系列针对EGFR突变的肺癌靶向药物，化合物结构中主要引入了氟代苯基和嘧啶环结构…”,新颖(相离),治疗靶点一致，但查新点化合物的核心骨架基团（三氟甲基吡啶环 vs 氟代苯基/嘧啶环）存在化学结构上的显著区别。
S-013,机械制造,一种用于工业无人机的碳纤维螺旋桨，桨叶末端采用了[后掠式翼梢小翼]设计，以降低气动噪声并提升升力。,“…本专利涉及一种轻量化工业无人机螺旋桨，采用碳纤维复合材料一体成型，桨叶末端设有降低涡流噪声的翼梢小翼结构…”,不新颖(包含),查新点的材料选型、结构特征及技术目的均已被该对比文献完整披露。
S-014,电子信息,基于区块链的物联网设备身份认证方法，共识机制采用[实用拜占庭容错(PBFT)]，并结合[可验证随机函数(VRF)]进行节点选举。,“…提出了一种适用于物联网环境的区块链架构，共识过程基于PBFT算法，同时利用VRF技术随机选举主节点以提升安全性…”,不新颖(包含),查新点所采用的核心机制组合（PBFT + VRF节点选举）已被文献完全覆盖，无实质性技术突破。
